"Uniprot_ID","Gene_names","Protein_names","pVal","WT_Relative_amplitudes","phase","peak.shape","period","X1.WT1","X2.WT1","X3.WT1","X4.WT1","X5.WT1","X6.WT1","X7.WT1","X8.WT1","X9.WT2","X10.WT2","X11.WT2","X12.WT2","X13.WT2","X14.WT2","X15.WT2","X16.WT2","X17.WT3","X18.WT3","X19.WT3","X20.WT3","X21.WT3","X22.WT3","X23.WT3","X24.WT3"
"G3X920","Armc8","Armadillo repeat-containing protein 8",0.0290355553801646,0.154420442750323,21,9,24,53288.5065475838,53175.4491615066,56805.6288498638,53031.2246398502,56045.4485567983,56653.5495649066,56575.1949327515,56466.1059895183,56317.8671749622,49589.3050259199,55041.553352771,55360.8049843788,57964.6621534033,55947.0992752872,57349.6530173556,54283.650150858,55603.1324781665,57682.0309903197,55849.7582427914,58866.4702882416,57771.3046477943,58135.0102725856,58992.3578746809,57354.9172650898
"Q68FL0","Slc8a1","Sodium/calcium exchanger 1",0.0290905950113025,0.146617410019224,24,12,24,122253.546287643,130615.244124887,124731.52129938,118151.924152938,121146.928119051,117371.152805126,128856.677959135,124654.410097494,138939.809650451,137800.820562866,130774.755783793,127462.977553352,136411.505431489,131097.225616782,138971.185662796,142361.3730388,138600.305808312,137470.64998606,136566.303231859,130010.775655169,128046.245982032,130091.537339785,131111.737607436,142419.048524037
"G5E8L8","Map3k2","Mitogen-activated protein kinase kinase kinase 2",0.00563989701043869,0.159477596856244,21,12,24,47255.5271204382,45796.2574109943,44353.7720383024,45220.8577329555,51584.6997352401,43447.2934495249,51391.0714378195,50306.9986823842,48286.2285738257,44976.4107976809,47755.7282918253,49291.5086083423,51256.6052620881,51807.6099093106,53881.2512466615,53845.808656724,48723.518859391,51466.5258255172,50889.9300303184,50238.0129656859,49747.275268051,50160.6433909533,51581.991405295,53234.0886690797
"Q6PDI9","Il6st","Interleukin-6 receptor subunit beta",0.0329289333961039,0.110153996892655,24,18,24,359806.887269212,373658.339449454,370248.326305707,357826.242012844,342973.061855809,340502.151205131,359008.049456561,366289.32765094,360378.816756596,337513.8519165,354711.917654009,337181.36991608,351209.071695113,338845.137665049,379695.033739783,372966.623197735,364866.981643041,368719.390310131,357051.053385344,362855.01728935,362050.823387139,361388.675655341,372529.469050422,370018.150765178
"H9H9T1","Fam107b",NA,0.0258836373670825,0.112299727318444,12,9,24,178485.480926855,171214.735791869,185701.328117035,202180.9290541,185878.772146324,189070.155872573,176292.362846679,174491.69786191,180036.936064433,182836.872003113,178309.839917714,193160.960275586,180992.060326771,193845.26621316,179550.105300353,181069.436671558,188186.317610974,183446.871625752,190546.29894123,191513.103743563,185907.442803639,174379.220349492,183424.50353823,185962.881481156
"Q3U2P3","Capn5","Calpain-5",0.00125246596759904,0.186144284717541,24,9,24,44339.7843120634,47669.979569354,43835.1917484402,44250.710945473,44680.7825613127,39577.9198924394,45827.2294405653,47807.7547490992,45950.9051104905,45826.4252651341,43569.3488173977,45925.9576845286,46157.2552744645,45181.0746290871,46987.5477021996,47839.6472949329,47919.7532865748,46431.3680739735,43236.2499190007,43496.9153955732,42724.1892214169,47202.3301007487,46727.0841661121,46718.5865864711
"O08734","Bak1","Bcl-2 homologous antagonist/killer",0.00776211747342225,0.205420066496282,3,9,24,56088.1010521781,58008.286079872,58654.0508446446,53287.810097585,51670.9845426127,53502.6797718527,56688.1895478334,58371.9374550868,58742.8315070196,55764.7082876808,60173.2206796114,50522.990944994,55130.7543312986,56319.9325762042,55898.7987437168,56163.7402784354,61868.0487163149,53263.3218372105,58602.2635153564,53418.2741897607,55522.8043140913,54207.7571939242,55655.1203989098,49655.269567221
"O35459","Ech1","Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",0.000138392723851085,0.148729787438843,3,18,24,471879.566177228,460856.515968372,464115.185366898,450589.035451022,459908.57970744,438218.866791365,435637.77254415,439890.661597349,454047.466055155,447070.747476003,440608.832157152,420415.540288308,432746.498579828,401819.162192775,430668.599963537,414262.070732313,469146.661180658,448392.936144193,444587.795816201,439508.270280912,439846.918219508,421050.825629861,421088.112817141,433897.8866278
"Q3TCY0","Rab33b","Ras-related protein Rab-33B",0.0267464252793186,0.14222973598709,21,15,24,37833.1793332544,37149.1275942347,36226.0963636709,34314.6584035788,37669.4107676754,36117.5515825761,39788.1053036215,40791.7239312285,37960.5136238674,37398.8149537333,38679.3371347447,36872.6552902781,37088.7021750663,38619.3575743363,40407.6993528812,38197.2357449174,37917.3988379416,36797.6042295726,41685.5029565075,39414.9678984837,41758.7952675942,37969.98720563,40027.1709622336,40319.2843468081
"O54941","Smarce1","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1",0.0095579361945496,0.10981007866202,6,15,24,370702.84975797,372232.81669559,368546.702973235,375456.648058555,379982.858620899,372059.536467962,365743.252279594,378804.195858947,380619.578465028,405719.698734667,372596.332490865,377915.034147081,371409.636349745,368565.62969388,366960.021851446,366561.332402722,372425.365870849,384498.938774567,353966.423642521,374082.369134451,352283.795295151,351523.089579278,342947.198964885,359650.992724326
"Q3UPX0","Crym","Ketimine reductase mu-crystallin",0.0313173335461783,0.270659090129609,18,9,24,37399.1659438774,39211.0573022066,39964.0479726903,42622.9174032564,41160.7304827128,44503.2188967099,41604.1279689767,43255.8706422633,34060.4610955019,40004.2130777965,38010.9404052504,40120.1428425047,40790.2110963938,41927.6426876658,41178.7623341805,41342.4321091224,41236.6809260191,47655.7612615543,42343.8166972654,41216.1956572652,42993.7689385891,44849.2712521393,41340.6380320423,47524.3473818114
"Q8BQV7","Rpl35a","60S ribosomal protein L35a",0.000202279500524445,0.339246481533595,15,6,24,190545.80591323,195717.971280436,205420.95535879,224473.332476603,207639.53799164,211720.551799817,172095.17362075,160987.403972487,187866.773111851,189050.737188019,219692.852392394,187603.666733935,207520.334429148,192656.988801405,180648.920111136,182427.357863515,181048.37182778,172789.518410912,193175.122573128,197709.900978729,202540.226735352,222777.738969957,181135.052737198,181145.567905265
"O55187-2","Cbx4","E3 SUMO-protein ligase CBX4",0.00091474757758593,0.244712793720791,21,12,24,13822.0841560472,15011.2211287255,12966.150559003,13971.8998116003,14996.3149914397,13567.18727359,15045.004232934,14539.3568817301,11963.4494669995,13043.5840073521,12458.0402045006,14830.325214687,13803.6502778203,14546.2746473886,14586.2583126047,15074.2642237513,13540.4258138403,13484.9114609381,11948.8461507842,13510.8963821087,14007.685304386,15251.2796826656,13972.2925196617,14505.5729443152
"Q3UJC3","Nmt1","Glycylpeptide N-tetradecanoyltransferase;Glycylpeptide N-tetradecanoyltransferase 1",0.0282096665984442,0.120873453979627,15,6,24,541238.433755416,517572.952647739,546225.670587202,544075.630909101,557285.578911998,526821.449746816,512187.129300027,534328.575099252,552474.645631861,550439.307174227,583748.399560764,554403.26587873,570317.434305781,563829.445839201,532307.363223119,550038.258940492,536699.735960623,556168.82510352,567440.726114807,558304.339440159,573931.735491132,539186.147563584,564840.714484881,550220.203680514
"O70579","Slc25a17","Peroxisomal membrane protein PMP34",0.0123926619541394,0.308838206288258,6,9,24,18196.4290713745,18774.9566999332,18463.8876129241,17244.8271788059,16329.7014257568,17748.3890900807,15839.2770803,18017.1668697005,16330.1188711266,17423.3701639135,16510.7780895201,16271.9473144355,14702.4010299231,14307.1186521338,15006.4737134357,15490.0286599736,15230.0902358623,18157.760190649,13263.8147721618,16646.797365012,14097.3274225241,15856.2757448134,15769.0099876674,17256.1666971744
"O70589-3","Cask","Peripheral plasma membrane protein CASK",0.0217378548075088,0.127314844148947,24,9,24,480905.553414185,482042.117988502,484061.960239915,482394.944661124,478537.24630618,463314.591397213,494689.420253036,497104.970843539,505394.350376842,495927.858312839,479102.514291665,461927.045611626,498721.907536053,491716.443077443,508314.689622944,501644.05272976,497614.166051225,534635.728683296,473628.553000221,507727.351703759,491375.934369539,530184.348476058,510480.372933083,541977.404633618
