"Uniprot_ID","pVal.WT","pVal.CKO","Baseline.WT","Baseline.CKO"
"A0A1D5RL92",0.126461944718094,0.676616306202151,441079.348079536,400808.924885071
"A0A1D5RLL3",0.0431899996954131,0.153592464999331,235402.402658025,275530.606894684
"A0A1D5RLV7",0.176241309543778,0.57597174374749,98791.3356334427,107961.316426894
"A0A1D5RLX9",0.571046021960078,0.474232292692851,16305.5821902642,18346.8296444291
"A0A1D5RMB5",0.921827608278922,0.92612690413816,67191.845688656,61449.0833768348
"A0AUN0",0.574502282645166,0.0755958679294388,1156824.43494131,994432.377176563
"A0ELI5",0.829817323902504,0.415761509699044,74608.7622187793,81077.0920913526
"A0JLQ7",0.737679750645075,0.0396034892552824,117374.766073191,111460.646768142
"A0JNY3",0.191090872285477,0.29661234096931,192494.336514752,207389.260340283
"A0MNP4",0.685651039822093,0.00544541780318219,569147.440060137,521223.060054443
"A0PK78",0.827985364900437,0.915623464649302,206521.316130083,254541.569875825
"A1A4T2",0.852089928256818,0.287985871873745,2642877.19968981,2879462.00406865
"A1A553",0.811855214251221,0.307750141791499,168902.039415999,108289.236938892
"A1A596",0.842770845892111,0.693419270110531,48359.1287029947,62412.4623181208
"A1BN54",0.744104359525669,0.036454163324142,5095665.42581897,5919210.99304999
"A1ILG8",0.88826076870454,0.918231274257337,1107881.14105455,921926.168242119
"A1L013",0.85964323445087,0.921832136234949,54096.4441279239,53680.5677730995
"A1L0U3",0.0192212209096671,0.791369495483034,782651.216636004,845209.12318836
"A1L0U6",0.184701094175653,0.281344456299659,1131671.46511176,1022752.75638377
"A1L0V6",0.217338386252328,0.861028953306891,1275184.14388606,1433946.13048993
"A1L332",0.239754906573538,0.478233285761197,19409.9442713514,21214.9664489364
"A1L341",0.862354859357701,0.859097403515674,49004.3012915989,47785.4293744623
"A1L361",0.807499594092647,0.0637925352396846,130876.456136607,145224.729627124
"A1L3B6",0.225792948250162,0.213404531711783,18985.0534164343,20157.9251768836
"A1L3B8",0.75492783270334,0.00519765857683682,441265.804328815,465739.907443119
"A2A432",0.588252923923284,0.869327298643256,844979.483643249,759381.257534912
"A2A4A1",0.883289140049514,0.483136731726921,125424.57329988,132016.233975902
"A2A4A6",0.848242593008722,0.313850498768881,428962.498229108,339012.676195799
"A2A547",0.841356801301491,0.0463010336417066,271635.723506361,235909.502111102
"A2A5N2",0.356110878358735,0.196532212014537,1139176.68400312,1016616.54392195
"A2A5R2",0.350891269808851,0.0342496971548685,493389.08308618,498990.10149689
"A2A5V4",0.811378440409094,0.00176640911533835,255527.128889999,245426.500529129
"A2A5Z6-2",0.9227536747871,0.874901958077688,4820.33332525295,5257.33076318312
"A2A699",0.894328915818347,0.00338144408116803,28302.8153178086,30231.1122894724
"A2A6A1",0.884466623994085,0.000263590720566226,97676.2668216882,95929.7679884914
"A2A6Q5",0.000951753854989182,0.586074042523209,63926.1152911176,63696.6443336557
"A2A6S1",0.857316953439954,0.0185099998694628,31591.4016759004,29071.7906992941
"A2A7A7",0.893324007134928,0.113763589443515,1537950.24754631,1208157.47883372
"A2A7S7",0.873314655380478,0.150173559352736,1015708.77748859,1142651.88350844
"A2A7S8-2",0.543345965630819,0.733358466054673,32708.8469941811,30094.3883011519
"A2A7Z4",0.550417678131532,0.0203471416300687,603716.502466884,524697.904327039
"A2A8L5",0.869903312454319,0.0311131908322582,221054.142399198,186310.213330766
"A2A8R0",0.0586148702499496,0.348807499595464,14200.4744519488,15306.033619772
"A2A8R7",0.588258893503074,0.788326457707378,37151.3265874442,38124.5124376307
"A2A9I0",0.0027329521220291,0.0677971065072707,151910.498219921,148737.720512214
"A2A9M5",0.0871677998508062,0.850245634684711,748649.134246481,1006922.23300416
