"WT_female_mean","WT_male_mean","FC"
8688.71199124049,8128.66098487766,1.06889831023889
172512.805055717,177564.916767128,1.029285430202
334372.992309097,302274.712153494,1.10618910171786
12800.0102314006,13061.3416319503,1.02041649934847
11048.8011936053,11570.7183729033,1.04723744867454
12715.6852636095,11824.7882536524,1.07534147680674
54991.4640684674,56857.6472835655,1.03393587071576
218520.459710059,216074.741856464,1.01131885121131
60902.9292141494,58894.3976527841,1.03410394946573
153076.517407998,152045.217568262,1.00678284957745
31744.8107634174,29538.3277155403,1.07469898327102
46646.6946354103,42380.3254189818,1.10066862805442
132904.796558013,123837.740410164,1.07321722859137
129081.416672188,105457.384317888,1.22401496592299
74699.051738721,74405.3230546384,1.00394768374121
226630.150839474,170271.229659305,1.33099497368368
8916.86216946961,8135.74025801878,1.0960111663694
