"female_mean","male_mean","FC"
9149.02544660923,8520.91655538851,1.0737137709468
161578.035393317,172879.428423907,1.06994386955553
359098.770654133,317053.595831108,1.13261219987999
13847.546512705,13070.9019455074,1.05941782521478
12485.8618519015,11431.9584625518,1.09218922486484
11566.9293855502,11904.4021166974,1.02917565413417
55601.4499535451,56955.9990894412,1.02436175921721
225784.988657344,227008.462186541,1.00541875496893
57950.2711399601,58521.3796025345,1.00985514737619
151584.587128939,153700.180136194,1.01395651792392
28797.3116840634,28787.4049164438,1.00034413548732
42507.5419936417,42863.3110509867,1.00836955139392
149869.537193192,133342.649586495,1.1239429969177
185918.287230636,127776.128267936,1.45503146597759
76671.6761798793,76103.2948662103,1.00746855066746
127635.882414913,133617.732360163,1.04686652242357
10625.7352062204,8878.73244031435,1.19676263223945
970589.402122512,724733.600757751,1.33923610152435
