"Uniprot_ID","Protein_names","Gene_names","pVal","WT_Relative_amplitudes","Means","phase","peak.shape","period","X1.WT1","X2.WT1","X3.WT1","X4.WT1","X5.WT1","X6.WT1","X7.WT1","X8.WT1","X9.WT2","X10.WT2","X11.WT2","X12.WT2","X13.WT2","X14.WT2","X15.WT2","X16.WT2","X17.WT3","X18.WT3","X19.WT3","X20.WT3","X21.WT3","X22.WT3","X23.WT3","X24.WT3","logbase","CKO_logbase","CKO_means"
"Q91XX1","","Pcdhgc3",0.00528928603152112,0.138309831895289,156843.843504324,24,12,24,152090.208100466,150596.161298453,161873.491755463,145398.462391795,153985.679271525,148714.454977329,166054.104176562,160314.015818793,155084.800049586,156704.672124559,147657.209036555,153828.915144505,154514.605544715,163729.335021524,157168.401785214,170795.835999558,159039.211489587,161402.577860643,153152.601624827,154434.806238421,158554.547123717,157960.730862719,156556.275667781,164641.140739475,5.19546747627205,5.28576514859599,193092.385793846
"Q91YE3","Egl nine homolog 1","Egln1",0.0493926570963459,0.105086090566223,86996.032715463,15,9,24,85131.5651100603,85948.6220037396,86108.4082637325,86977.4487874955,89150.3575739107,86749.4804609499,84885.59581872,85599.3819788621,92198.6917500034,88816.0075267873,91089.9220794479,89079.4354140346,93182.1406493374,85901.4575763897,90731.7859819251,85273.8264023429,83955.7961468242,86179.1609748735,80972.0998651834,85730.40205835,86831.4270166056,88172.5140145971,84770.3407645577,84468.9169523808,4.93949944791668,4.9203178257453,83237.2695935182
"Q91YT8","CSC1-like protein 1","Tmem63a",0.0231870451280094,0.197504249855151,75969.4459357777,21,15,24,80950.993634926,78243.7152842091,85903.2718239456,73519.2394151231,78742.3480845233,72650.7239733558,83838.0986524892,79566.8025533282,76358.1888205825,74141.2998237182,73400.8292471066,67072.5614439582,76964.0887237767,75424.2957973291,79789.4474535875,79552.0495371215,68923.1284359377,71521.2167320615,70125.9114833941,73739.5107821385,74646.8697098732,75061.4782417831,78707.3356973484,74423.2971070482,4.88063895899726,4.97728225951354,94903.5065990563
"Q91YZ2","C-terminal-binding protein 2","Ctbp2",0.000910984040676368,0.0883115054571214,332359.770108364,6,15,24,333584.359547253,334350.579273551,340749.022843848,340242.580790104,332547.132673658,331736.38243484,327890.928277675,323452.146844784,336880.125035301,349285.543719215,334840.683442717,349538.124800945,337490.228316122,341665.217781256,319712.545899279,323546.712615559,338456.628469654,341740.971892445,325150.729987079,331017.120370788,329481.503950497,322275.066828868,307299.951759721,323700.195045588,5.52160844989753,5.43388227399052,271570.301215568
"Q91ZS8-5","Double-stranded RNA-specific editase 1","Adarb1",0.00676788539593196,0.259639560897461,26619.8042714827,12,9,24,26113.7792039196,29145.8231688096,26553.5606389261,30182.7050642482,26039.895117184,28806.0361790868,26237.8661248156,26230.1131750718,26842.9109707827,24226.2492286587,29121.7655592552,26273.6052314681,28517.1216124646,26517.5320918902,23988.9267460034,25061.3868996185,25918.6508537634,25672.0707220257,25701.0119130061,30171.604879717,26602.2423581662,26546.6839651501,23417.2072066662,24986.553604888,4.4252048578957,4.48674040449132,30671.8805705302
"Q920I9-2","WD repeat-containing protein 7","Wdr7",0.0197703986499433,0.126024052084311,74522.8267483817,18,9,24,70842.8948662736,77107.3680444397,74856.0440877672,71862.8461331065,75992.5800770423,76881.3299261955,75182.5946437599,76558.8015208744,73282.6246194115,70978.3931139143,74306.1204031386,75401.3422895297,78311.8302417119,76284.2658764866,69677.5912888608,73430.2219756724,70553.8792531789,78747.1262819531,72330.7582721858,73174.7830248043,73180.1938278484,79063.0920896459,75953.0689309647,74588.091172394,4.8722893198949,4.85709317916098,71960.3354462549
"Q921D4","Mediator of RNA polymerase II transcription subunit 6","Med6",0.0185099998694628,0.39466769871412,30450.2936633501,9,12,24,34641.7852237403,32242.1658584088,37035.890816139,32838.6163132329,25693.1390584151,30324.9721722492,22915.5713426747,25180.0902142411,31858.1230464988,34618.9741966754,34473.6329113836,33292.4411402597,30550.5403553431,28895.5644506385,30226.4279757099,31841.5803759159,27938.083319362,29296.1557130964,25740.957895179,30806.9043815496,33323.9041454618,26893.157810838,25898.0807901268,34280.2884132634,4.48359148533531,4.51038713470927,32388.2240352978
"Q921W4","Quinone oxidoreductase-like protein 1","Cryzl1",0.00998259889368931,0.0559485892218987,396056.395668692,12,12,24,387981.663182911,386939.716169665,392880.069267306,415396.579606399,403887.012737665,400699.106965089,391931.623938615,391344.860540566,393011.069662419,404194.044226879,391454.174763182,398674.693740485,397567.010433142,391549.911943326,382426.180589556,386357.227419295,399819.233822267,399597.896487157,405731.660495814,403318.492739433,401258.315878097,391455.025606821,393534.106502345,394343.81933018,5.59775703083426,5.60298615587282,400853.939290023
"Q922D8","C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase;C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed","Mthfd1",0.0012391812574076,0.0661726903074167,2979610.20252921,12,12,24,3013810.68821987,2949956.6928927,3002149.28636674,3070945.97441763,3014330.61334138,3052873.1809675,2921442.39697259,2925278.47681622,2936414.65762885,2930715.6941228,3062588.50811203,3055449.57729862,2961770.32869428,2925681.19285921,2893840.74430487,2867717.83375077,2980936.90838627,2952326.59575267,3025852.39597058,2970289.33905992,3038607.31312953,2990654.97131422,3006593.17153342,2960418.31878829,6.47415945267916,6.35836011361746,2282233.6981203
"Q99JT1","Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial","Gatb",0.0294193133312584,0.428112486120186,42119.4052212325,12,9,24,38971.022072585,40247.0619514182,46118.4527676509,49782.383786414,40467.2301099874,42985.5025276306,35519.3759739988,45070.7668515266,44471.3026502768,46405.2890888877,44745.1166852047,51131.7042929156,44571.088340566,45383.5160552145,39607.2783699422,42235.0888248866,30372.0818617514,48155.6561121883,35012.5171814699,40417.7191285784,44686.2222512149,42336.6670460094,33755.2030194392,38417.4783598238,4.6244822297746,4.71346030292569,51696.400225344
"Q99K23","Ufm1-specific protease 2","Ufsp2",0.017892999873814,0.12686774679944,154901.969049102,21,6,24,149354.144180594,149232.946880103,156782.054490815,143625.655351235,162815.147688265,147558.018502457,165173.442485708,151300.953056378,150431.117706342,154238.25509215,146688.693233894,155876.61450347,150923.191986832,158243.452300011,156243.448068638,154610.007611617,152546.251764723,152005.793011869,155987.155677227,160258.531040468,159373.586083929,165497.97344073,162743.014444498,156137.808576493,5.19005693836427,5.23127765757664,170324.709767626
"Q99K90","TGF-beta-activated kinase 1 and MAP3K7-binding protein 2","Tab2",0.00851225497428113,0.21907414134468,30808.8384748544,21,12,24,32126.6665859076,31120.2830297046,29341.7033849479,30891.5890480984,31396.8609765235,33404.4091432338,33438.1397005016,34119.8590310009,28660.8804128123,32434.8259118266,27780.8613202364,30112.681729817,29231.3628461846,33173.4374100091,28956.4753965581,28774.4107072632,26908.9689615175,28323.9057711374,28510.9077639618,30580.6113388757,33384.2708976462,31167.6394252509,34055.1809887323,31516.1916147594,4.48867532527344,4.44304648588779,27736.1697037881
"Q99LB6-2","Methionine adenosyltransferase 2 subunit beta","Mat2b",0.00378528978950413,0.13112156863292,431690.965471145,9,15,24,465628.802832812,417303.536010269,462861.02258663,456618.062716851,463910.193515923,431845.763570137,430948.072928895,401315.121952637,433074.038951933,434865.991505234,429269.944975974,427737.749894055,421900.257674863,423770.414840123,417706.406219223,408195.73190257,443984.861924287,440537.568919905,436805.08509984,440693.407924616,427688.484679117,422168.680247834,407632.594798197,414121.375635563,5.63517295973552,5.55782719108371,361266.083647864
"Q99LC2","Cleavage stimulation factor subunit 1","Cstf1",0.000911100737430633,0.126488838379743,180790.005476419,6,15,24,183818.571822487,182406.961906595,180334.668182247,188033.443317915,181703.0416506,178446.090217972,176040.533972593,177762.992296022,195900.111486263,186187.87026776,192981.549857642,182349.715763945,178715.578156689,173509.346971797,177625.07212342,168406.084136104,174157.069759916,185581.700840593,184026.88328167,184081.046534338,174513.564793395,174968.368250503,174469.783866361,182940.081977238,5.25717441791801,5.22124531682809,166435.251583878
"Q99LF4","tRNA-splicing ligase RtcB homolog","Rtcb",0.0478444014297635,0.0782095681394214,1687763.94330058,9,12,24,1719340.72796416,1674601.60475681,1689098.34088148,1765999.58886981,1690982.6173429,1719619.26821333,1682248.14490933,1698210.35857353,1717339.84710746,1677109.53963691,1715402.08458059,1707884.46431421,1691482.62607964,1652829.46234206,1647927.1862979,1603026.03383805,1702251.43365929,1725396.70085074,1713698.98545127,1674857.59654465,1689546.87127225,1623162.62009438,1673771.69284753,1650546.8427857,6.22731170455805,6.23623015038029,1722781.30528121
"Q99LR1","Monoacylglycerol lipase ABHD12","Abhd12",0.00933602158469543,0.148167688058658,73675.0097718231,6,12,24,70148.5382752014,79196.0346659601,74510.1568380539,72698.0930508192,70314.4411692094,69596.2355946531,74535.1332882731,72305.8636691884,73172.1814515154,74741.04322529,70765.3534642983,74842.0988401833,70789.4211302563,72547.2966813988,74237.3309429723,74763.2447488441,75107.8198531249,80549.4698757325,70910.1496065159,72498.6817613078,70785.72925988,70002.2659625902,83928.4505801219,75255.2005883651,4.86732020212425,4.89530459389026,78578.6555426336
"Q99M31","Heat shock 70 kDa protein 14","Hspa14",2.25285262003241e-05,0.0747193181846186,341280.322767443,12,9,24,338658.784962493,340949.573541238,343909.172217902,354651.267307133,338005.805657939,342830.991932635,330633.466761126,335180.557816762,337999.530672193,355937.323058514,344656.664063169,348070.630447917,344218.144481211,343510.533543245,332761.420325156,342385.339446547,344786.874976186,349474.104463425,330653.182228869,353350.266470649,348167.781916467,336145.349717827,320660.803309949,333130.177100072,5.53311124884156,5.60679579548649,404385.705529705
"Q99MU3","Double-stranded RNA-specific adenosine deaminase","Adar",0.0068489271824314,0.163335132689458,88999.6452821075,18,9,24,84781.3443903596,89378.8782512449,86231.2666470712,93658.2600443051,88963.8538968209,93772.0028759069,95071.9070360052,88715.744336274,86588.9945033673,88129.075139353,88318.880376723,92863.3790112741,90501.0663656268,97547.3631094489,91307.5827722727,93921.5089022586,86983.8450423642,81978.0950964705,81847.1710778672,90222.9928514042,87923.7843193595,90525.9603707501,81409.2956746996,85349.2346793535,4.94938827571985,5.12052098259291,131983.907714331
"Q9CPW2","Adrenodoxin-like protein, mitochondrial","Fdx1l",0.0231870451280094,0.163476636510152,45293.6992330651,21,9,24,43864.3429638985,43376.5616196685,47376.796400165,45453.6490216706,45777.9385161776,45725.9430025661,47419.9950013529,49432.160523744,45771.0214097819,41957.4664568802,47301.5274806762,43396.2327115595,46072.622931513,44526.8724560766,48011.1727802378,43339.4026916735,42226.9203624804,44455.3687146374,42439.3187527393,42094.2794145573,48613.9066534473,45973.3692973804,48073.4835081832,44368.4289224941,4.65603779188853,4.65397319035966,45078.8875818854
