"Uniprot_ID","Protein_names","Gene_names","pVal","WT_Relative_amplitudes","phase","peak.shape","period","X1.WT1","X2.WT1","X3.WT1","X4.WT1","X5.WT1","X6.WT1","X7.WT1","X8.WT1","X9.WT2","X10.WT2","X11.WT2","X12.WT2","X13.WT2","X14.WT2","X15.WT2","X16.WT2","X17.WT3","X18.WT3","X19.WT3","X20.WT3","X21.WT3","X22.WT3","X23.WT3","X24.WT3"
"Q3UV57","DDB1- and CUL4-associated factor 5","Dcaf5",0.00366318366726206,0.139321258794842,12,15,24,48033.3169468403,68010.7417248937,51967.4825659014,74384.6472689639,56670.9728027111,51439.2321210671,52071.0104470102,51962.7491250617,49819.1278239335,52089.9745875277,54324.9598756928,54600.267338421,52860.7770036587,49253.5770103535,52682.4569542942,51631.5505676096,52387.3934105209,54224.0312373969,50919.5825728993,54694.8899899929,53280.0589573617,52832.9437336841,51622.2705649105,52890.0957671114
"Q3UVN5","NSFL1 cofactor p47","Nsfl1c",0.00730552232792682,0.112648970404704,12,9,24,973280.366722194,959136.372293666,963162.6003414,980773.545138513,970919.658119595,979478.903871807,942413.323851474,974735.462624807,953213.540729549,1036925.5412476,959840.246212845,993343.156285833,954497.693489234,962145.718330338,922193.647508981,965009.81733093,979860.430919292,976742.613741216,992703.52771246,974741.047508467,978635.391243889,939868.835542457,961889.563354659,958562.956929723
"Q3UXS0","Secretory carrier-associated membrane protein 3","Scamp3",0.0268100209292608,0.13024343645178,24,15,24,135968.28669838,137038.14668628,138517.45794679,133287.00534212,127207.070212073,128199.979775914,130323.821741826,142730.648165242,136732.815577711,127860.720519856,133612.445727449,131111.69000839,129558.274677037,135235.003870647,138269.630324431,139223.213153715,129566.234155632,137601.279601639,133179.390475838,146054.808786212,131564.565941658,143083.905578147,136779.490351227,145595.725397004
"Q3UYD0","U3 small nucleolar RNA-associated protein 14 homolog A","Utp14a",0.00894129514973995,0.446936679153651,12,15,24,99840.288153945,110257.015645427,96985.6461451651,105592.973902037,99804.8492928847,103875.599212788,98539.5906650654,100471.819171031,77191.5629774472,86227.5205400402,93272.7668486702,115797.517215697,109068.404068582,122642.999733992,90236.8780194938,83140.852071478,95333.309713228,97599.7900704083,98658.3639402259,103161.998999781,100281.236603777,100370.869530528,99207.1599163689,99013.3510980685
"Q3UYN1","Proline synthase co-transcribed bacterial homolog protein","Prosc",0.0493926570963459,0.107535543431221,12,9,24,432605.364774263,410249.637399859,430441.833979347,450228.376009039,409250.54025461,422496.30992083,403507.965122544,394482.007866787,416241.435830451,424279.608598765,419934.632611272,433326.852173469,397064.338040224,415968.321222964,401068.326500959,411733.432449964,435065.092205652,428468.110746207,439486.974319543,446220.123060391,436252.758240445,419198.863852482,430247.894157301,440822.509876034
"Q498A0","ADP-ribosylation factor-like protein 5A","Arl5a",0.0150331168554007,0.202645968186588,21,18,24,31224.5597632902,32998.1347405313,33495.5067213562,37734.5460080492,29445.3660158768,34170.2221972875,35888.4868941604,34789.6586361987,32492.2709014038,32052.6257676674,30396.0671568559,31846.7469692011,31236.6800097643,32348.1875868797,34437.0119522169,33441.979560829,30968.2191725871,33396.3947043866,30564.88041445,32377.3117212894,31720.8719635339,32092.481897505,33823.9495152204,33481.4403717254
"Q4FK22","Endoplasmic reticulum-Golgi intermediate compartment protein 1","Ergic1",0.02463623544851,0.260578793159598,24,9,24,245888.247407141,267168.643216957,253461.09638853,239032.294841408,228460.366100277,236205.767498821,248755.014799548,268198.665492395,250517.435195381,234035.051770103,234374.260008358,227383.739269068,242711.661054986,243160.009693719,268839.288632438,267140.010480933,244289.299517976,278910.812678182,225521.429426647,279199.458309458,241870.948026507,316513.290091226,256682.730081956,301944.584488934
"Q4VAE3","Transmembrane protein 65","Tmem65",0.0050299921711324,0.261737698495478,21,15,24,40840.8088335268,43485.0288754182,38577.0807252964,34403.709492282,38792.7434343826,35543.519291595,45645.1343789364,46171.1123805794,42792.2202832011,37309.9174162312,40993.6338932413,38405.4473397959,43484.3654229748,39390.1357245896,46373.2254307117,42619.4249113237,38921.5547773021,42938.4755393386,41963.3273823694,44678.0761580757,41291.5348782105,45369.9119121093,45826.0573447896,45810.9262453339
"Q4VBD2","Transmembrane anterior posterior transformation protein 1","Tapt1",0.00730552232792682,0.389308854286717,24,9,24,24664.1533668408,25787.0989467385,20364.5823576051,21258.1908287045,18857.818885989,24944.4480664633,21093.1395239522,26058.3239742545,23498.7547479622,22392.6987417141,21387.6415386137,23870.0475051563,23151.3426166892,22999.4046004844,23704.7993782073,24623.335377568,19517.9298244061,24480.4385289823,16746.4027531488,20925.9985821638,21845.2679285992,25698.5797025634,21476.3548908753,24970.5814568331
"Q9D2S5","DNA-directed RNA polymerases I, II, and III subunit RPABC4","Polr2k",0.0431545275690319,0.22147076113802,6,12,24,21505.5138708484,21698.7447934057,21127.6415497547,22119.4404710709,21473.9768690587,21042.9144771889,20176.0648487652,20497.2190795869,21738.4509781515,24008.9930177617,20604.946459621,21978.7579797522,21503.5019868221,20225.6016218404,20509.8425850042,20342.830796733,22350.4131668479,24571.6002120134,20867.8331263893,22096.9486125983,20263.842830261,21110.0030714192,22315.2214311555,22073.9890111825
